title,ministry,schemeCategory,description,beneficiaryState,npiMinistry,slug,tags,__typename
 Nirman Shramik Jeevan Bhavishya Suraksha Yojana,,['Health & Wellness'],These schemes are provided by the Government of Rajasthan in case of death or injury due to normal or accidental death or injury to the beneficiaries of workers registered in the unorganized sector.,,[],nsjbsy,"['Medical', 'Insurance', 'Health', 'Labor']",Search
Rashtriya Krishi Vikas Yojana,Ministry Of Agriculture and Farmers Welfare,"['Agriculture,Rural & Environment']",Rashtriya Krishi Vikas Yojana is a centrally Sponsored scheme. It was initiated in 2007 for ensuring the holistic development of agriculture and allied sectors by allowing states to choose their own agriculture and allied sector development activities as per the district/state agriculture plan. ,,[],rkvy,"['RASHTRIYA', 'KRISHI', 'RKVY', 'RAFTAAR']",Search
Pradhan Mantri Fasal Bima Yojna,Ministry Of Agriculture and Farmers Welfare,"['Agriculture,Rural & Environment']",Pradhan Mantri Fasal Bima Yojana was launched in  2016 with the aim to support farmers by providing an affordable comprehensive risk cover for crops.,,[],pmfby,"['Crop Insurance', 'Farmers', 'Kharif', 'Rabi']",Search
Kushal Yuva Program,,['Skills & Employment'],"""Kushal Yuva Program"" is a skill training programme with the objective to enhance the employability skills of all aspirants who are permanent residents of Bihar and have passed at least Class 10th. The Soft Skills Training comprises Life skills, Communications Skills, and Basic Computer Literacy.",,[],kyp,"['Skill', 'Training']",Search
Swami Vivekananda Single Girl Child Fellowship For Research In Social Sciences,Ministry of Education,['Education & Learning'],"A fellowship scheme by the University Grants Commission (UGC) for Single Girl Child for research in Social Sciences with an aim to compensate for direct costs of higher education, especially for such girls who happen to be the only girl child in their family.",,[],svsgcfrss,"['Single Girl Child', 'Fellowship', 'Research']",Search
Capacity Building For Service Providers - Hunar Se Rozgar Tak,Ministry Of Tourism,['Skills & Employment'],"The scheme ""Hunar Se Rozgar Tak"" is a Suo-Moto Sub-Scheme of the Ministry of Tourism under the Umbrella Scheme of ""Capacity Building for Service Providers (CBSP)"". The program is aimed at targeting persons with not much means and in need to acquire skills facilitative to employment.",,[],cbsp-hsrt,"['Entrepreneurship', 'Skill', 'Employment']",Search
Assistance For Delivery / Miscarriage Of Pregnancy / Termination Of Pregnancy To Female Differently Abled Person,,"['Health & Wellness', 'Women and Child']","The Government of Tamil Nadu introduced ""Assistance for Delivery/Miscarriage of Pregnancy/Termination of Pregnancy to Female Differently Abled Person.",,[],admptpfdap,"['Female', 'Delivery', 'Miscarriage', 'Pregnancy', 'Differently Abled Person']",Search
Scholarship For Transgender Students,,"['Education & Learning', 'Social welfare & Empowerment']","The scheme “Scholarship for Transgender Students” was launched by the Social Justice Department, Government of Kerala for providing scholarships to Transgender students from 7th standard onwards studying in State Government/ Government aided/ Self Financing schools.",,[],sts,"['Transgender', 'Student', 'Scholarship']",Search
ICAR - Post Matric Scholarship For Scheduled Caste / Scheduled Tribes Candidates,Ministry Of Agriculture and Farmers Welfare,['Education & Learning'],"The scheme ""Post-Matric Scholarship to Scheduled Castes / Scheduled Tribes Candidates"" was introduced by ICAR, Dept. of Agricultural Research and Education, to enable the students belonging to the weaker sections of society to complete undergraduate courses.",,[],icar-pms-scstc,"['Post Matric', 'Scholarship', 'Agriculture', 'Scheduled Caste', 'Scheduled Tribe']",Search
Bidya Lakshmi Loan,,['Education & Learning'],The Assam Government has launched a scheme to provide higher secondary education loans for the children of State Government Employees of all categories ,,[],bll,"['Bidya', 'Lakshmi', 'Higher Education']",Search
"National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjanon Ke Sashaktikaran Men Karyrat Sarveshrestha Sansthan (Private Organization, NGO)",Ministry Of Social Justice and Empowerment,['Social welfare & Empowerment'],"The ""Divangjano ke Shashaktikaran Mein Karyrat Sarveshrestha Sansthan"" award is given by DoEPwD to an organization working for the empowerment of Persons with Disabilities for a minimum period of 10 years after registration under Society Act/ Trust Act / Section 8 of Companies Act 2013.",,[],naepwdnaieepwddksmksspriongo,"['Award', 'Institution', 'Person With Disability', 'Citizen Empowerment', 'Private Organization', 'NGO']",Search
"Theka Shramik, Hamaal Shramik Evan Gharelu Mahila Kamgar Gambhir Bimaari Chikitsa Sahayata Yojana",,['Health & Wellness'],"Chhattisgarh State Government started a scheme ""Theka Shramik, Hamaal Shramik Evan Gharelu Mahila Kamgar Gambhir Bimaari Chikitsa Sahayata Yojana"" for unorganized worker on 05 June 2018.",,[],thgmbs,"['Health', 'Wellness', 'Financial Assistance']",Search
Coir Vikas Yojana-Skill Upgradation and Mahila Coir Yojana,"Ministry Of Micro, Small and Medium Enterprises","['Business & Entrepreneurship', 'Skills & Employment']","The scheme “Skill Upgradation and Mahila Coir Yojana” is a component of “Coir Vikas Yojana” and the scheme was launched by the Ministry of Micro, Small & Medium Enterprises, Government of India.",,[],cvy-sumcy,"['Coir', 'Skill Upgradation', 'Mahila', 'MSME', 'Stipend', 'Training', 'Entrepreneur', 'Self-employment']",Search
Girl Students Health & Hygiene Scheme,,"['Health & Wellness', 'Women and Child']","The scheme “Girl Students Health & Hygiene Scheme” was announced by the Department of School Education, Govt. of Arunachal Pradesh in 2013 for the girl students studying in classes 6-12. The scheme's focus was to retain, maintain hygiene, and continue education throughout the year.",,[],gshhs,"['Girl', 'Health', 'Hygiene', 'Sanitary Napkin', 'Student']",Search
ICAR Post Matric Scholarship For Scheduled Caste / Scheduled Tribes Candidates,Ministry Of Agriculture and Farmers Welfare,['Education & Learning'],"A post-matric scholarship scheme by the Indian Council of Agricultural Research (ICAR) for the Scheduled Castes / Scheduled Tribes candidates for study at Bachelor Degree program in various branches of Agriculture, viz. B.Sc.(Agri.), B.V.Sc., B.Sc.(Agril. Engg.), B.Sc.(Home Science).",,[],icar-pmsssstc,"['Scholarship', 'Post Matric', 'Scheduled Caste', 'Scheduled Tribe', 'Agriculture']",Search
Chhattisgarh Mukhyamantri Kanya Vivah Yojana,,['Health & Wellness'],"In view of the difficulty faced by poor families regarding the marriage of the girl child, the Mukhyamantri Kanya Vivah Yojana has been implemented.",,[],cmkvy,"['Financial Assistance', 'Girl Marriage', 'BPL Category', 'Group Marriages']",Search
National Award For Senior Citizens (vayoshreshtha Samman): Iconic Mother,Ministry Of Social Justice and Empowerment,"['Social welfare & Empowerment', 'Women and Child']","The award is conferred to the eminent and outstanding senior citizens and institutions/organizations involved in rendering distinguished service for the cause of elderly persons, especially indigent senior citizens. The awards are conferred on 1st October every year by the Hon’ble President of India",,[],nassvsim,"['Mother', 'Award', 'Social Welfare', 'Senior Citizen']",Search
Mukhyamantri Mahila Udyami Yojana,,"['Business & Entrepreneurship', 'Women and Child']","This is a flagship scheme of the Bihar government aimed at promoting entrepreneurship and self-employment among the youth by providing financial assistance of up to ₹10,00,000/- for setting up businesses.

",,[],mmuyb,"['Women Entrepreneurship', 'Youth', 'Business', 'Self Employment']",Search
Widow B.Ed Scheme-Rajasthan,,"['Education & Learning', 'Women and Child']","In 2015-16, Rajasthan State started the ""Widow B.Ed Scheme"" for Widow/abandoned women. ",,[],wbedrj,"['Student', 'Empowerment', 'Higher Education', 'Abandoned Women']",Search
Scholarships For Higher Education Abroad To Meritorious Boys And Girls From Open Category,,['Education & Learning'],"The scheme “Scholarships for Higher Education Abroad to Meritorious Boys and Girls from open category” was launched by the Department of Higher and Technical Education, Government of Maharashtra on 4th October 2018.",,[],sheambgoc,"['Higher Education', 'Abroad', 'Open Category', 'Students', 'Scholarship']",Search
Economic Help To Sahariya Tribal Girl Students (Class 11 And 12),,"['Education & Learning', 'Women and Child']",Rajasthan Government started a scholarship for Sahariya tribal girls' higher education (Class 11 and 12). ,,[],ehstgs,"['Financial Assistance', 'Education', 'Girl Empowerment']",Search
Ashirwad,,"['Social welfare & Empowerment', 'Women and Child']",The Punjabi government has established the Punjab Ashirwad Scheme to offer financial support for a girl's marriage.,,[],asd,"['Financial Assistance', 'Social Welfare', 'Empowerment', 'Shagun']",Search
Marriage Incentive Reward Scheme,,['Social welfare & Empowerment'],The Marriage Incentive Reward scheme for the marriage of disabled persons by the Government of Uttar Pradesh is being operated by the department since the year 1997. ,,[],mirs,"['Financial Assistance', 'Widow Marriage', 'Social Welfare', 'Empowerment']",Search
Financial Assistance as Shagun in Marriage of Man Workers or Son of Workers - Haryana Labour Welfare Board,,['Social welfare & Empowerment'],"This scheme was started by the Haryana Labour Welfare Board (HLWB), Labour Department, Government of Haryana on 15.01.2019. Under this scheme, financial assistance of ₹21,000/- will be provided as Shagun for the marriage of workers' sons and unmarried male workers themselves.",,[],fasmmwsw-hlwb,"['Marriage', 'Worker', 'Financial Assistance', 'Son', 'Shagun']",Search
Ladli Social Security Allowance Scheme,,['Social welfare & Empowerment'],"Launched on 1st January 2006, the “Ladli Social Security Allowance Scheme” is a flagship social-security scheme by the Department of Social Justice and Empowerment, Government of Haryana. The family receives ₹2,750/- per month for 15 years after either of the two parents completes 45 years of age.",,[],lssas,"['Social Security', 'Girl', 'Allowance', 'Financial Assistance', 'Daughter', 'Allowance']",Search
Investment Promotion Scheme (IPS) for MSME Sector: Assistance For Entrepreneurship Under Skill Development,,['Business & Entrepreneurship'],"“Assistance For Entrepreneurship Under Skill Development” under the “Investment Promotion Scheme (IPS)” for MSME sector, implemented by the Dept. of Industries, DNH & DD, aims to provide assistance to budding entrepreneurs and their staffs to undergo Entrepreneurship /Management training.",,[],ipsaeusd,"['Skill Development', 'Investment', 'MSMEs', 'Incentives', 'Entrepreneurship', 'Subsidy', 'Reimbursement', 'Water']",Search
Investment Promotion Scheme (IPS) for MSME Sector: Assistance of Interest Subsidy,,['Business & Entrepreneurship'],"“Assistance of Interest Subsidy” under the “Investment Promotion Scheme (IPS)” for MSME sector, implemented by the Dept. of Industries, U.T. Administration Of DNH & DD, aims to provide Interest Subsidy on the term loan on equipment/machinery etc and furniture’s / fixtures (except land and building).",,[],ipsais,"['Interest Subsidy', 'Investment', 'MSMEs', 'Incentives', 'Entrepreneurship', 'Subsidy', 'Reimbursement', 'IPS']",Search
Investment Promotion Scheme (IPS) for MSME Sector: Assistance For Capital Investment In Solar Power Generation,,['Business & Entrepreneurship'],"“Assistance For Capital Investment In Solar Power Generation” under the “Investment Promotion Scheme (IPS)” for MSME sector, by the Dept. of Industries, DNH & DD, aims to encourage MSMEs to use Solar Power through providing Capital subsidy for setting up of Solar Power Plant for generation of power.",,[],ipsacispg,"['Solar Power Generation', 'Capital Investment', 'MSMEs', 'Incentives', 'Entrepreneurship', 'Subsidy', 'Reimbursement']",Search
"Investment Promotion Scheme (IPS) for Thrust Sectors: Assistance For Marble, IT & ITES, Electric Vehicles & Spare Parts, Toys Units And Semi-Conduct or Industries Sectors",,['Business & Entrepreneurship'],"“Assistance For Marble, IT & ITES, Electric Vehicles & Spare Parts, Toys Units And Semi-Conduct or Industries Sectors'' under the “Investment Promotion Scheme (IPS)” for Thrust Sectors, by the Dept. of Industries,  DNH & DD, aims to promote industries through providing various types of subsidy.",,[],ipsfsafmit,"['Thrust Sectors', 'Furniture Sector', 'Incentives', 'Entrepreneurship', 'Subsidy', 'Reimbursement', 'IPS', 'Marble', 'IT & ITES', 'Electric Vehicles', 'Spare Parts', 'Toys Units', 'Semi-Conduct', 'Industries Sectors']",Search
Mahila Samiriddhi Yojana for Minority Community,,"['Banking,Financial Services and Insurance', 'Women and Child']","The scheme is implemented by the Haryana Backward Classes & Economically Weaker Sections Kalyan Nigam. Under this scheme, loans up to ₹1,00,000/- per beneficiary are provided only to women entrepreneurs of the target group, either directly or through Self-Help Groups.",,[],msymc,"['Mahila', 'Minority Community', 'Woman', 'Loan', 'SHG']",Search
Investment Promotion Scheme (IPS) for MSME Sector: Awards For MSMEs,,['Business & Entrepreneurship'],"“Awards For MSMEs” under the “Investment Promotion Scheme (IPS)” for MSME sector, implemented by the Dept. of Industries, U.T. Administration Of DNH & DD, aims to facilitate the best MSMEs with awards for their achievements in different aspects.",,[],ipsafmsme,"['Awards', 'MSMEs', 'Entrepreneurship', 'IPS']",Search
Divyang Boys/ Girls Marriage Incentive Grant,,['Social welfare & Empowerment'],"“Divyang Youth / Girl Marriage Incentive Grant” is a social security scheme by the Social Welfare Department, Government of Uttarakhand, that provides financial assistance to a couple when a young woman or young man marries a Divyang (person with disability) partner.",,[],dbgmig,"['Marriage Grant', 'Divyang Marriage']",Search
Bus Passes for the Construction Workers,,['Social welfare & Empowerment'],"The ""Bus Passes for the Construction Workers'' by the BOCW Welfare Board, Labour Department,  U.T. Administration of DNH & DD, is a welfare scheme that provides 50% reimbursement of the travelling cost of registered construction workers who travel by bus from various villages in search of work.",,[],bpftcw,"['Labour', 'Building Worker', 'Construction Worker', 'Bus Pass']",Search
Grant of Token Amount for Construction of House for the Construction Workers,,['Social welfare & Empowerment'],"The ""Grant of Token Amount for Construction of House for the Construction Workers'' by the BOCW Welfare Board, Labour Department,  U.T. Administration of DNH & DD, is a welfare scheme that provides financial assistance to the eligible registered member for construction of house.",,[],gtachcw,"['Labour', 'Construction Of House', 'Construction Workers', 'Building Workers']",Search
Mother Teresa Asahay Matri Sambal Yojana,,"['Social welfare & Empowerment', 'Women and Child']","The main purpose of the Scheme to encourage under this Yojana, women who are helpless in upbringing their children (like widows, and destitute) are provided with financial assistance per child per annum for two children.

",,[],mtamsy,"['Widow', 'Mother Teresa Scheme', 'Financial Assistance']",Search
Swabhimaan Scheme,,"['Social welfare & Empowerment', 'Women and Child']","The Union Territory of Daman & Diu and Dadra & Nagar Haveli has successfully launched the “Swabhimaan Scheme” scheme to tackle the problems of Malnutrition, Anemia, and other relevant issues. ",,[],ss-dadra-and-nagar-haveli-and-daman-and-diu,"['Pregnant Women', 'Lactating Mothers', 'Sabla', 'Adolescent Girls', 'Supplementary Nutrition']",Search
Maternity Benefit/Delivery Assistance (K.B.O.C.W.W.B),,"['Health & Wellness', 'Women and Child']","The ""Maternity Benefit/Delivery Assistance'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme that provides financial assistance to registered women construction workers for the birth of upto two (2) children.

",,[],mbdakbocwwb,"['Labour', 'Building Worker', 'Construction Worker', 'Medical Assistance', 'Maternity', 'Delivery', 'Women']",Search
"Theka Shramik, Gharelu Mahila Kamgar Evan Hamaal Shramik Ke Bachcho Hetu Chhaatravrtti Yojana",,['Education & Learning'],"Chhattisgarh State Government started a scheme ""Theka Shramik, Gharelu Mahila Kamgar Evan Hamaal Shramik Ke Bachcho Hetu Chhaatravrtti Yojana"" for unorganized worker on 11 March 2015.",,[],tshmcy,"['Education', 'Scholarship']",Search
Beti Bachao Beti Padhao,Ministry of Women and Child Development,"['Education & Learning', 'Health & Wellness', 'Social welfare & Empowerment', 'Women and Child']","In 2015, the Indian government introduced the Beti Bachao, Beti Padhao (BBBP) scheme to address concerns about gender discrimination and women empowerment in the country. The name Beti Bachao, Beti Padhao translates to ‘Save the girl child, educate the girl child’.",,[],bbbp,['Girl Child'],Search
Economic Help To Tribal Girls For Higher Education (Class 11 & 12),,"['Social welfare & Empowerment', 'Women and Child']",Rajasthan Government started a scholarship for tribal girls higher education (Class 11 & 12) In the year 2011.,,[],ehftg,"['Financial Assistance', 'Educational Grant', 'Student', 'Higher Education']",Search
Scheme For Working Women Hostel,Ministry of Women and Child Development,"['Housing & Shelter', 'Women and Child']","A scheme to promote accommodation for working women, with day care facility for their children, wherever possible, in urban, semi urban, or even rural areas where employment opportunity for women exist.
",,[],swwh,"['Working Women', 'Hostel', 'Women Accomodation', 'Day Care']",Search
Soft Loan Scheme for Women Entrepreneurs,,['Business & Entrepreneurship'],The scheme “Soft Loan Scheme for Women Entrepreneurs” was started under Kerala Startup Mission to support women startups with a soft loan of an amount limited to ₹15 Lakhs as working capital for implementing works & projects received from Govt. departments and Public Sector Undertaking in Kerala.,,[],slswe,"['Soft Loan', 'Woman', 'Entrepreneur', 'Startup', 'Loan']",Search
Savitribai Phule Scholarship For V.J.N.T And S.B.C Girls Students Studying In 8th To 10 Std,,"['Social welfare & Empowerment', 'Education & Learning', 'Women and Child']","Savitribai Phule Scholarship is a Scholarship Scheme by the Social Justice and Special Assistance Department, Govt. of Maharashtra, to encourage enrollment and to decrease the dropout ratio of Girls in education. ",,[],sps,"['Pre-Matric', 'SBC', 'Scholarship', 'Special Backward Classes', 'Vimukta Jati And Nomadic Tribes', 'VJNT']",Search
Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme-1,,"['Social welfare & Empowerment', 'Women and Child']","In this scheme, ₹ 25,000/- and an 8-gram gold coin is given to brides who have studied Class 10th. This scheme is only applicable for the marriage conducted from 17th May 2011 onwards. The objective of the scheme is to help financially poor parents in getting their daughters mar",,[],mranmas1,"['Marriage', 'Financial Assistance', 'Social Welfare', 'Bride', 'Gold']",Search
"Hamaal Hetu Joota, Huk Evan Mahila Hamaal Hetu Soopa Aur Tokari Sahaayata Yojana",,['Social welfare & Empowerment'],"Chhattisgarh State Government started a scheme ""Hamaal Hetu Joota, Huk Evan Mahila Hamaal Hetu Soopa Aur Tokari Sahaayata Yojana"" for unorganized worker on 11 March 2015.",,[],hhjmhhst,"['Financial Assistance', 'Welfare', 'Empowerment']",Search
Internship Programme At Serious Fraud Investigation Office,Ministry of Corporate Affairs,['Education & Learning'],"The Internship Programme at SFIO was started in 2017 to provide a platform for the interaction of talented and young scholars and researchers from reputed academic institutions who are pursuing Post-Graduation/Research Programs in Economics/ Commerce/Law/ Management and Computer Forensics, etc.",,[],ipsfiomca,"['Internship', 'Student', 'Corporate', 'Fraud', 'Investigation']",Search
One Stop Centre,Ministry of Women and Child Development,"['Housing & Shelter', 'Social welfare & Empowerment', 'Women and Child']","One-Stop Centres (OSCs) is a scheme by the Ministry of Women and Child Development intended to provide an integrated range of services to women affected by violence, in private and public spaces.",,[],osc,"['Victim', 'Women', 'Abuse', 'Violence']",Search
Financial Assistance On Marriage Of Children (HBOCWWB),,['Social welfare & Empowerment'],"The scheme “Financial Assistance on Marriage of Children (HBOCWWB)” was launched by the Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department Haryana.",,[],famc-hbocwwb,"['Construction Worker', 'Children', 'Marriage', 'Financial Assistance', 'Social Welfare']",Search
Maternity Benefit Scheme (HBOCWWB),,"['Social welfare & Empowerment', 'Women and Child']","The scheme “Maternity Benefit Scheme (HBOCWWB)” was launched by the Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department Haryana.",,[],mbs-hbocwwb,"['Women', 'Construction Workers', 'Maternity', 'Financial Assistance', 'Birth']",Search
Investment Promotion Scheme (IPS) for MSME Sector: Reimbursement Of Free On Board (FOB) Expenses,,['Business & Entrepreneurship'],"“Reimbursement Of Free On Board (FOB) Expenses” under the “Investment Promotion Scheme (IPS)” for MSME sector, implemented by the Dept. of Industries, U.T. Administration Of DNH & DD, aims for boosting exports in the Food/ Marine Food Processing Sector.",,[],ipsfob,"['Exports', 'Investment', 'MSMEs', 'Incentives', 'Entrepreneurship', 'Subsidy', 'Reimbursement', 'Food Processing', 'Marine Food Processing', 'FOB']",Search
Investment Promotion Scheme (IPS) for MSME Sector: Assistance of Fixed Capital Investment Subsidy,,['Business & Entrepreneurship'],"“Assistance of Fixed Capital Investment Subsidy” under the “Investment Promotion Scheme (IPS)” for MSME sector, implemented by the Dept. of Industries, U.T. Administration Of  DNH & DD, aims to provide subsidy for the investment made in Gross Fixed Capital investment (GFCI).",,[],ipsafcis,"['Fixed Capital Investment', 'Investment', 'MSMEs', 'Incentives', 'Entrepreneurship', 'Subsidy', 'Reimbursement', 'IPS']",Search
Investment Promotion Scheme (IPS) for Thrust Sectors: Assistance For Furniture Sector,,['Business & Entrepreneurship'],"“Assistance For Furniture Sector” under the “Investment Promotion Scheme (IPS)” for Thrust Sectors, implemented by the Dept. of Industries, U.T. Administration Of DNH & DD, aims to promote Furniture industries through providing various types of subsidy.
",,[],ipstsaffs,"['Thrust Sectors', 'Furniture Sector', 'Incentives', 'Entrepreneurship', 'Subsidy', 'Reimbursement', 'IPS']",Search
Investment Promotion Scheme (IPS) For Handicraft Artisans: Assistance For Capital Investment For The Handloom And Handicrafts Artisans Of The U.T. Requiring Financial Assistance For Purchase Of Machinery Or Raw Materials,,['Business & Entrepreneurship'],"This is a sub-scheme under the “Investment Promotion Scheme (IPS)”, implemented by the Dept. of Industries, U.T. Administration Of DNH & DD, that aims to provide financial assistance for purchase of machinery or raw materials for development of their business.",,[],ipshacihh,"['Capital Investment', 'MSMEs', 'Incentives', 'Entrepreneurship', 'Subsidy', 'Reimbursement', 'IPS', 'Handicraft Artisans', 'Handloom', 'Purchase Of Machinery']",Search
Investment Promotion Scheme (IPS) for Thrust Sectors: Scheme For Marine Products Processing Units,,['Business & Entrepreneurship'],"“Scheme For Marine Products Processing Units'' under the “Investment Promotion Scheme (IPS)” for Thrust Sectors, implemented by the Dept. of Industries, U.T. Administration of DNH & DD, aims to provide Interest Subsidy to the Establishment /Expansion of Marine products processing industries.",,[],ipsftsmppu,"['Thrust Sectors', 'Food Processing Industries', 'Incentives', 'Entrepreneurship', 'Subsidy', 'Reimbursement', 'IPS', 'Marine Products']",Search
Grant Scheme for Marriage of SC and ST Girls,,['Social welfare & Empowerment'],"“Grant Scheme for Marriage of SC and ST Girls” is a social security scheme by the Social Welfare Department, Government of Uttarakhand, that provides financial assistance to the SC and ST girls to cover the expenses of marriage.",,[],gsfmssg,"['Marriage Grant', 'Scheduled Caste', 'Scheduled Tribe', 'Financial Assistance']",Search
Investment Promotion Scheme (IPS): Environment Protection Infrastructure Subsidy,,['Business & Entrepreneurship'],"“Environment Protection Infrastructure Subsidy'' under the “Investment Promotion Scheme (IPS)”, implemented by the Dept. of Industries, U.T. Administration Of DNH & DD, aims to promote Installation of Environment Protection Infrastructure for a cleaner environment.",,[],ips,"['Environment', 'MSMEs', 'Incentives', 'Entrepreneurship', 'Subsidy', 'Reimbursement', 'IPS', 'Infrastructure']",Search
Ex-gratia for Permanent Disability/ Chronic Diseases/ Surgery/ Operation for the Construction Workers,,['Social welfare & Empowerment'],"""Ex-gratia for Permanent Disability/ Chronic Diseases/ Surgery/ Operation for the Construction Workers'' by the BOCW Welfare Board, Labour Dept.,  U.T. of DNH & DD, is a welfare scheme that provides financial assistance for Permanent Disability/ Chronic Diseases/ Surgery/ Operation of the workers.",,[],egpdcdso,"['Labour', 'Building Worker', 'Construction Worker', 'Permanent Disability', 'Chronic Diseases', 'Surgery', 'Ex-gratia', 'Operation']",Search
Payment of Funeral Assistance for the Construction Workers,,['Social welfare & Empowerment'],"The ""Payment of Funeral Assistance for the Construction Workers'' by the BOCW Welfare Board, Labour Department,  U.T. Administration of DNH & DD, is a welfare scheme that provides financial assistance for funeral expenses to the nominees/ dependents of a deceased registered member or their spouse.",,[],pofaftcw,"['Labour', 'Building Worker', 'Construction Worker', 'Funeral Assistance', 'Nominees', 'Dependents']",Search
"Mahila Kamgar Kaushal Unnayan Evan Theka Shramik, Hamaal Tatha Ghareloo Mahila Kamgaar Parivar Sashaktikaran Yojana",,"['Education & Learning', 'Business & Entrepreneurship']","Chhattisgarh State Government started a scheme ""Mahila Kamgar Kaushal Unnayan Evan Theka Shramik, Hamaal Tatha Ghareloo Mahila Kamgaar Parivar Sashaktikaran Yojana"" for unorganized worker on 11 March 2015.",,[],mkku,"['Training', 'Empowerment', 'Learning', 'Women']",Search
Marriage Assistance To Daughters Of Differently Abled Parents (Parinayam-I),,['Social welfare & Empowerment'],"The scheme “Marriage Assistance to Daughters of Differently Abled Parents (Parinayam-I)” was launched by the Department of Social Justice, Government of Kerala.",,[],maddapp-i,"['Differently Abled Parents', 'Daughters', 'Marriage', 'Financial Assistance']",Search
Marriage Grant Scheme,,['Social welfare & Empowerment'],"In Uttar Pradesh State, a scheme for the marriage of girls from economically weaker families of the state. ",,[],mgs,"['Financial Assistance', 'Women Welfare', 'Girl Marriage']",Search
Widow Re-marriage Scheme,,"['Social welfare & Empowerment', 'Women and Child']",The main objective of the scheme is to help in the rehabilitation of widows after re-marriage.,,[],wrms,"['Female Scheme', 'Widow', 'Remarriage', 'Grant', 'Financial Assistance']",Search
